intervention,macro_f1,accuracy,log_loss,sitting_f1,standing_f1,walking_running_f1,worst_class_f1,macro_f1_delta_real_minus_intervention,mean_true_class_log_probability_gain_real_minus_intervention,prediction_change_fraction,real_rescues_intervention,real_harms_intervention
real,0.7886666661527836,0.7866955892986262,0.5575517578031629,0.8203883495145631,0.7243133265513734,0.8212983223924143,0.7243133265513734,0.0,0.0,0.0,0,0
legacy_temporal,0.7806159956588115,0.7780187997107737,0.5631942627336783,0.8232445520581114,0.7023060796645703,0.8162973552537527,0.7023060796645703,0.008050670493972123,0.005642507690936327,0.035430224150397684,30,18
motion_null,0.7446158666601077,0.7404193781634129,0.6715833696116142,0.7785547785547785,0.6803118908382066,0.7749809305873379,0.6803118908382066,0.044050799492675874,0.11403161287307739,0.12509038322487345,107,43
short_repeated,0.7426147451119314,0.7389732465654375,0.6591891754946373,0.7775175644028103,0.6738916256157635,0.7764350453172205,0.6738916256157635,0.046051921040852206,0.10163741558790207,0.1193058568329718,103,37
parts_repeated,0.7874604949322817,0.7845263919016631,0.5636210078971676,0.8203883495145631,0.7243460764587525,0.8176470588235294,0.7243460764587525,0.0012061712205019282,0.006069250404834747,0.007953723788864787,7,4
parts_missing,0.7810361093163939,0.7780187997107737,0.562944545060034,0.8203883495145631,0.7085478887744593,0.8141720896601591,0.7085478887744593,0.00763055683638969,0.005392791237682104,0.014461315979754157,16,4
reverse_temporal_order,0.7859763376220418,0.7838033261026753,0.560242211925576,0.8192771084337349,0.7196738022426096,0.8189781021897811,0.7196738022426096,0.0026903285307418034,0.00269045471213758,0.022415039768618944,16,12
deterministic_temporal_shuffle,0.7891203300631663,0.7859725234996384,0.5610587012394845,0.8252427184466019,0.7222787385554426,0.8198395331874544,0.7222787385554426,-0.0004536639103827067,0.003506945911794901,0.02096890817064353,14,13
zero_geometry,0.7878574174439796,0.7852494577006508,0.5659836393098725,0.8221153846153846,0.7215447154471545,0.8199121522693997,0.7215447154471545,0.0008092487088039446,0.00843188539147377,0.005784526391901663,5,3
zero_appearance_dynamics,0.7446158666601077,0.7404193781634129,0.6715737768027451,0.7785547785547785,0.6803118908382066,0.7749809305873379,0.6803118908382066,0.044050799492675874,0.11402202397584915,0.12509038322487345,107,43
geometry_only,0.178874356533931,0.36225596529284165,1.0325585869719656,0.0,0.5308510638297872,0.005772005772005772,0.0,0.6097923096188526,0.4750068187713623,0.6673897324656544,743,156
occlusion_unmasked,0.787996336376296,0.7866955892986262,0.5564497554315029,0.8175182481751825,0.7243133265513734,0.8221574344023324,0.7243133265513734,0.0006703297764876215,-0.001102002221159637,0.0014461315979754157,1,1
background_camera_jitter,0.7886666661527836,0.7866955892986262,0.5575534190144347,0.8203883495145631,0.7243133265513734,0.8212983223924143,0.7243133265513734,0.0,1.6642384252918418e-06,0.0,0,0
