fold,seed,fixed_epochs,samples,candidate_macro_f1,baseline_macro_f1,macro_f1_delta
0,42,2,1196,0.6870806471042297,0.6987126304524335,-0.011631983348203812
0,43,0,1196,0.675586515074185,0.6777692358095226,-0.002182720735337651
0,44,1,1196,0.6892511300368516,0.6964975674039362,-0.007246437367084635
0,45,9,1196,0.6749143161988099,0.6887572882368763,-0.013842972038066392
0,46,1,1196,0.673401070108843,0.6814707768001288,-0.008069706691285816
0,ensemble,development_locked,1196,0.6941771754815234,0.6986279875257315,-0.004450812044208163
1,42,2,926,0.6599656834857361,0.6575603918615519,0.002405291624184236
1,43,0,926,0.6761515026046211,0.6838370771424439,-0.007685574537822815
1,44,1,926,0.6787787283497811,0.67869047198693,8.82563628511468e-05
1,45,9,926,0.6815663010737852,0.6921259766239931,-0.01055967555020787
1,46,1,926,0.6726914492509688,0.6756661463345605,-0.0029746970835916597
1,ensemble,development_locked,926,0.6846611024679788,0.6815699061749182,0.0030911962930606496
2,42,2,1061,0.776789931440689,0.787306610359856,-0.010516678919167077
2,43,0,1061,0.7893240975442778,0.7909821432289178,-0.0016580456846400082
2,44,1,1061,0.7878151564298718,0.7930072581839728,-0.005192101754101008
2,45,9,1061,0.7858061964054692,0.7876312672494789,-0.0018250708440096242
2,46,1,1061,0.7495560458733262,0.7586153789194082,-0.009059333046081974
2,ensemble,development_locked,1061,0.7794903014359078,0.7875499631084669,-0.008059661672559115
3,42,2,956,0.585100025281434,0.5897307513950948,-0.004630726113660777
3,43,0,956,0.5758655011163888,0.5898216625667151,-0.013956161450326299
3,44,1,956,0.5864528037042066,0.5662655616092427,0.02018724209496392
3,45,9,956,0.586300418721867,0.574533660262578,0.011766758459288984
3,46,1,956,0.589133315743191,0.5929523657961503,-0.0038190500529592386
3,ensemble,development_locked,956,0.5895678335276102,0.5877097256082081,0.0018581079194021077
4,42,2,838,0.7560665151848674,0.7726536196760199,-0.016587104491152416
4,43,0,838,0.7487620228988846,0.7491239140092115,-0.00036189111032691734
4,44,1,838,0.772577757117601,0.7681461371071002,0.004431620010500792
4,45,9,838,0.7463179403009192,0.7507808346624136,-0.004462894361494385
4,46,1,838,0.7316907161560341,0.7311347105526381,0.0005560056033959704
4,ensemble,development_locked,838,0.7594263767313413,0.7568839802308087,0.002542396500532562
all_oof,42,2,4977,0.7065438907846135,0.7152764222408047,-0.008732531456191128
all_oof,43,0,4977,0.7064880369747361,0.7112013732583868,-0.004713336283650782
all_oof,44,1,4977,0.7163964676507275,0.7157760497805782,0.0006204178701493257
all_oof,45,9,4977,0.7087369274178869,0.7144640467177621,-0.0057271192998752385
all_oof,46,1,4977,0.6951574449652745,0.7001782123503246,-0.0050207673850500845
