family,accuracy,macro_f1,weighted_f1,balanced_accuracy,log_loss,brier_score,ece,adaptive_ece,classwise_ece,locomotion_f1
static,0.7300959909655562,0.7457893380602498,0.7272611586826249,0.7515861624068868,0.640414125446137,0.3680896689074267,0.0344535373719246,0.0390372307101324,0.0564403033101406,0.7261146496815286
teacher,0.7707509881422925,0.7854392126392127,0.7690519820100847,0.7837999112643771,0.5746821514809359,0.3251446023044374,0.0292120626052175,0.0377946738332493,0.0562846957196836,0.7692307692307693
classification_student,0.730660643704122,0.7456372774713865,0.7268618463014597,0.7486927798711385,0.6331264832302632,0.3670852281200859,0.0328606777040383,0.0391700261060562,0.0595914129789509,0.7350216182828907
routing_student,0.7289666854884246,0.743997703427143,0.7240921504276021,0.7480071510332859,0.6362301296379916,0.3689219587516697,0.0387608881625396,0.0400217432446698,0.0620532240097332,0.7358145210494204
source_only_static,0.5731225296442688,0.5734824448414355,0.5635693154712043,0.5985699562040689,0.9945671151296708,0.5701952685825792,0.1800304907191271,0.1774119597587215,0.1347920435375825,0.5035714285714286
hybrid_budget_0,0.730660643704122,0.7456372774713865,0.7268618463014597,0.7486927798711385,0.6331264832302632,0.3670852281200859,0.0328606777040383,0.0391700261060562,0.0595914129789509,0.7350216182828907
hybrid_budget_0.1,0.743647656691135,0.7579560861628695,0.7409054854338761,0.7591746477578664,0.6205900764378866,0.3586346042700989,0.0311003942095176,0.0311956645774679,0.0581947738301359,0.74487895716946
hybrid_budget_0.25,0.7515527950310559,0.7645491956792592,0.7485275564556026,0.7661298743371189,0.605542192377766,0.3485632291482965,0.0296876923402509,0.0314786003209452,0.0592012186770195,0.7552533992583437
hybrid_budget_0.5,0.7679277244494636,0.7817431178785431,0.7655869201706276,0.7802326225068087,0.5821892862257909,0.3323999403620902,0.0280602667575364,0.0403981607623991,0.0581448092938653,0.7692307692307693
hybrid_budget_1,0.7707509881422925,0.7854392126392127,0.7690519820100847,0.7837999112643771,0.5746821514809359,0.3251446023044374,0.0292120626052175,0.0377946738332493,0.0562846957196836,0.7692307692307693
