family,axis,value,samples,accuracy,macro_f1_all_classes,locomotion_f1
static,walking_running_subtype,not_applicable,1044,0.6925287356321839,0.5420161030595813,0.0
static,walking_running_subtype,running,36,0.9166666666666666,0.3188405797101449,0.9565217391304348
static,walking_running_subtype,walking,691,0.7771345875542692,0.2915309446254072,0.8745928338762216
static,transition_window,false,1666,0.737094837935174,0.753138253809261,0.7266483516483516
static,transition_window,true,105,0.6190476190476191,0.4743769994090918,0.7192982456140351
static,center_occluded,false,1735,0.732564841498559,0.7493313921503199,0.7262135922330097
static,center_occluded,true,36,0.6111111111111112,0.5816666666666667,0.72
static,window_any_occluded,false,1706,0.7332942555685815,0.749677579154341,0.7275114904793172
static,window_any_occluded,true,65,0.6461538461538462,0.6426048755276078,0.6808510638297872
static,drone_view,drone_1,1058,0.7438563327032136,0.7648046467881745,0.7361702127659574
static,drone_view,drone_2,713,0.7096774193548387,0.7176125244618395,0.7111111111111111
static,part_of_day,morning,524,0.7309160305343512,0.7348185585750354,0.5338078291814946
static,part_of_day,noon,1247,0.7297514033680834,0.719775324286314,0.7680372381691234
static,scenario,1.8,227,0.775330396475771,0.7860693662540686,0.5932203389830508
static,scenario,1.9,297,0.696969696969697,0.6931101031816778,0.4907975460122699
static,scenario,2.1,435,0.6758620689655173,0.688138486887817,0.694300518134715
static,scenario,2.10,620,0.75,0.7192127901356568,0.7893961708394698
static,scenario,2.3,192,0.7864583333333334,0.7536484593837535,0.8303571428571429
static,person_scale,small,938,0.7643923240938166,0.7591402827412285,0.7922606924643585
static,person_scale,tiny,828,0.6896135265700483,0.7011417714025296,0.6089965397923875
teacher,walking_running_subtype,not_applicable,1044,0.7183908045977011,0.5562228202827972,0.0
teacher,walking_running_subtype,running,36,0.9722222222222222,0.3286384976525822,0.9859154929577464
teacher,walking_running_subtype,walking,691,0.8393632416787264,0.3042223970626803,0.912667191188041
teacher,transition_window,false,1666,0.7785114045618248,0.7928704994921937,0.7722371967654986
teacher,transition_window,true,105,0.6476190476190476,0.5062233589087809,0.7304347826086957
teacher,center_occluded,false,1735,0.7729106628242075,0.788377407221413,0.7705022250476796
teacher,center_occluded,true,36,0.6666666666666666,0.627039627039627,0.6923076923076923
teacher,window_any_occluded,false,1706,0.7743259085580305,0.7899106586644443,0.7716129032258064
teacher,window_any_occluded,true,65,0.676923076923077,0.6596550901062179,0.6938775510204082
teacher,drone_view,drone_1,1058,0.774102079395085,0.793734164481835,0.7689119170984456
teacher,drone_view,drone_2,713,0.7657784011220197,0.7734496226356544,0.7697160883280757
teacher,part_of_day,morning,524,0.7480916030534351,0.743258297315855,0.5263157894736842
teacher,part_of_day,noon,1247,0.7802726543704892,0.7684819003062288,0.8177044261065266
teacher,scenario,1.8,227,0.8061674008810573,0.8075831305758313,0.6111111111111112
teacher,scenario,1.9,297,0.7037037037037037,0.6908804615348115,0.4683544303797468
teacher,scenario,2.1,435,0.7448275862068966,0.7517568290457556,0.7658536585365854
teacher,scenario,2.10,620,0.7887096774193548,0.7519113237963078,0.8311688311688312
teacher,scenario,2.3,192,0.8333333333333334,0.8107727512761836,0.8695652173913043
teacher,person_scale,small,938,0.7963752665245203,0.7923352193043057,0.8204613841524574
teacher,person_scale,tiny,828,0.7403381642512077,0.7510125979638175,0.6790540540540541
classification_student,walking_running_subtype,not_applicable,1044,0.6695402298850575,0.5319418691262936,0.0
classification_student,walking_running_subtype,running,36,0.9444444444444444,0.3238095238095238,0.9714285714285714
classification_student,walking_running_subtype,walking,691,0.8118668596237337,0.2987220447284345,0.8961661341853036
classification_student,transition_window,false,1666,0.7382953181272509,0.7540395739324879,0.7353723404255319
classification_student,transition_window,true,105,0.6095238095238096,0.4629227053140097,0.7304347826086957
classification_student,center_occluded,false,1735,0.732564841498559,0.7486885222575753,0.7347962382445141
classification_student,center_occluded,true,36,0.6388888888888888,0.6055555555555555,0.75
classification_student,window_any_occluded,false,1706,0.7327080890973037,0.7485223477468681,0.7353689567430025
classification_student,window_any_occluded,true,65,0.676923076923077,0.6684851791234769,0.723404255319149
classification_student,drone_view,drone_1,1058,0.7344045368620038,0.755698209199589,0.7329192546583851
classification_student,drone_view,drone_2,713,0.7251051893408135,0.7305720641625926,0.7381316998468607
classification_student,part_of_day,morning,524,0.6984732824427481,0.7086138981791157,0.5066666666666667
classification_student,part_of_day,noon,1247,0.7441860465116279,0.7308625657303204,0.7869598180439727
classification_student,scenario,1.8,227,0.7577092511013216,0.7740865571453807,0.592
classification_student,scenario,1.9,297,0.6531986531986532,0.6546836478952484,0.4457142857142857
classification_student,scenario,2.1,435,0.6919540229885057,0.704023389360447,0.7150259067357513
classification_student,scenario,2.10,620,0.7629032258064516,0.725089043378428,0.8062678062678063
classification_student,scenario,2.3,192,0.8020833333333334,0.7632809577254022,0.8484848484848485
classification_student,person_scale,small,938,0.7643923240938166,0.7539200277360454,0.7976424361493124
classification_student,person_scale,tiny,828,0.6908212560386473,0.7064249140152395,0.622673434856176
routing_student,walking_running_subtype,not_applicable,1044,0.6590038314176245,0.5282027070402072,0.0
routing_student,walking_running_subtype,running,36,0.9444444444444444,0.3238095238095238,0.9714285714285714
routing_student,walking_running_subtype,walking,691,0.8234442836468886,0.3010582010582011,0.9031746031746032
routing_student,transition_window,false,1666,0.7376950780312125,0.7529547509533357,0.7383606557377049
routing_student,transition_window,true,105,0.5904761904761905,0.4522688835910915,0.7017543859649122
routing_student,center_occluded,false,1735,0.7314121037463976,0.7477192240016036,0.7356037151702787
routing_student,center_occluded,true,36,0.6111111111111112,0.5609243697478992,0.75
routing_student,window_any_occluded,false,1706,0.731535756154748,0.7475179793484624,0.7361809045226131
routing_student,window_any_occluded,true,65,0.6615384615384615,0.6461922230374175,0.723404255319149
routing_student,drone_view,drone_1,1058,0.7362948960302458,0.7576833793158952,0.7366255144032922
routing_student,drone_view,drone_2,713,0.7180925666199158,0.7239667165177229,0.7346326836581709
routing_student,part_of_day,morning,524,0.6965648854961832,0.7107564056293835,0.5114754098360655
routing_student,part_of_day,noon,1247,0.7425821972734563,0.7268777999811583,0.7871064467766117
routing_student,scenario,1.8,227,0.7444933920704846,0.7646374052624053,0.578125
routing_student,scenario,1.9,297,0.6599326599326599,0.6659611353529599,0.4632768361581921
routing_student,scenario,2.1,435,0.6896551724137931,0.7013146491217362,0.7189873417721518
routing_student,scenario,2.10,620,0.7629032258064516,0.7221344510777584,0.8062234794908062
routing_student,scenario,2.3,192,0.796875,0.7551500288805345,0.8448275862068966
routing_student,person_scale,small,938,0.7579957356076759,0.7456605173729906,0.79296875
routing_student,person_scale,tiny,828,0.6944444444444444,0.7109416751498999,0.6347107438016529
source_only_static,walking_running_subtype,not_applicable,1044,0.7021072796934866,0.4883449650382279,0.0
source_only_static,walking_running_subtype,running,36,0.6666666666666666,0.2666666666666666,0.8
source_only_static,walking_running_subtype,walking,691,0.3733719247467438,0.1812434141201264,0.5437302423603794
source_only_static,transition_window,false,1666,0.578031212484994,0.5784294224294224,0.5076923076923077
source_only_static,transition_window,true,105,0.4952380952380952,0.3872742200328407,0.45
source_only_static,center_occluded,false,1735,0.5746397694524495,0.5758316035395946,0.5045207956600362
source_only_static,center_occluded,true,36,0.5,0.4350649350649351,0.4285714285714285
source_only_static,window_any_occluded,false,1706,0.5720984759671747,0.5731866745931324,0.5032139577594124
source_only_static,window_any_occluded,true,65,0.6,0.5749258936355711,0.5161290322580645
source_only_static,drone_view,drone_1,1058,0.6257088846880907,0.6343130356218271,0.5626822157434402
source_only_static,drone_view,drone_2,713,0.4950911640953717,0.4837997306690667,0.4101382488479262
source_only_static,part_of_day,morning,524,0.6564885496183206,0.5687892861805904,0.4285714285714285
source_only_static,part_of_day,noon,1247,0.5380914194065758,0.5542072220457311,0.5181236673773987
source_only_static,scenario,1.8,227,0.6431718061674009,0.5716535927562544,0.45
source_only_static,scenario,1.9,297,0.6666666666666666,0.566140480452662,0.4117647058823529
source_only_static,scenario,2.1,435,0.5885057471264368,0.5949848979574085,0.4866920152091255
source_only_static,scenario,2.10,620,0.4741935483870967,0.4771573782777187,0.5058823529411764
source_only_static,scenario,2.3,192,0.6302083333333334,0.6604302130617921,0.6060606060606061
source_only_static,person_scale,small,938,0.591684434968017,0.6083674742185884,0.5787348586810229
source_only_static,person_scale,tiny,828,0.5507246376811594,0.5014262896144261,0.3423913043478261
hybrid_budget_0,walking_running_subtype,not_applicable,1044,0.6695402298850575,0.5319418691262936,0.0
