method,budget_per_class,fit_samples,seeds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,locomotion_f1_mean,locomotion_f1_std,log_loss_mean,log_loss_std
source_only_static,0,0,1,0.6348517715112075,0.0,0.6432673268099801,0.0,0.6376554174067496,0.0,0.8262145165992051,0.0
source_probability_recalibration,1,3,5,0.4961677512653651,0.05115505286779523,0.4344160982436245,0.07625183428508941,0.566295682636491,0.11148571847087152,3.5371791756229825,4.479611173708026
target_only_factorized_linear,1,3,5,0.48604483007953725,0.046852766804122786,0.359343056573658,0.041382861549172485,0.6047000697836821,0.06299647452303217,4.751483736116197,3.9157845894966887
source_probability_recalibration,2,6,5,0.48098336948662335,0.12004460255282831,0.4608853782385866,0.09709721584876904,0.5352187820325108,0.2202566950120057,1.0301732306585905,0.0820252868569826
target_only_factorized_linear,2,6,5,0.525234996384671,0.09344433086502515,0.4219589862298929,0.11371975616489614,0.581655413687711,0.2848022710473648,0.9819365978165028,0.14636212240368612
source_probability_recalibration,4,12,5,0.5658712942877802,0.07629560614837745,0.5554649317435032,0.06981569125190847,0.5885656230766206,0.18285024632619698,0.9662160075817262,0.05950072474638892
target_only_factorized_linear,4,12,5,0.5619667389732467,0.052269705938604784,0.5077951255360145,0.05793492645601244,0.6371894191447869,0.09698568505764898,0.9438202881064308,0.10163468483277313
source_probability_recalibration,8,24,5,0.6147505422993492,0.0215917181867709,0.6091165315042134,0.004954462159703054,0.6563382660556886,0.07377893393121687,0.8917792381961795,0.026820748012880438
target_only_factorized_linear,8,24,5,0.6439624005784527,0.05015700592501083,0.6005584919612741,0.059184345086116384,0.7097442541911279,0.06890389176902914,0.8009272023917168,0.0775995860746549
source_probability_recalibration,16,48,5,0.6082429501084599,0.045493999178811854,0.6107071323813971,0.033032567903427144,0.6407203169337518,0.0790419805338613,0.8588793537283428,0.02409685395560197
target_only_factorized_linear,16,48,5,0.6218365871294288,0.03708488810412823,0.6059254163805977,0.03163127259690386,0.6724906461852613,0.07612937206841917,0.837473132682599,0.06017201375904452
source_probability_recalibration,32,96,5,0.6206796818510485,0.04045809990315259,0.6193869169089009,0.030130344542756034,0.6606677510918997,0.07684998092239133,0.8286582421489704,0.04418377069104959
target_only_factorized_linear,32,96,5,0.6422270426608822,0.04625756583886514,0.6295082688108723,0.04430882816993479,0.6911011265185348,0.06904826249341084,0.8293360542611425,0.08573748982230046
